"\"`-- x`\""	"&#8220;-- x&#8221;"
"it's a girls' school"	"it&#8217;s a girls' school"
"line one +\nline two\nline three +\nline four"	"line one<br>\nline two\nline three<br>\nline four"
"no break here\nsecond line"	"no break here\nsecond line"
"one--two"	"one&#8212;&#8203;two"
"plain text"	"plain text"
"start -- of a thought"	"start&#8201;&#8212;&#8201;of a thought"
"trailing --"	"trailing&#8201;&#8212;&#8201;"
"trailing space but no plus \nnext"	"trailing space but no plus \nnext"
"wait..."	"wait&#8230;&#8203;"
"x --"	"x&#8201;&#8212;&#8201;"
"x --  -- y"	"x&#8201;&#8212;&#8201;&#8201;&#8212;&#8201;y"
"x -- &amp;copy;y"	"x&#8201;&#8212;&#8201;&amp;copy;y"
"x -- 'y"	"x&#8201;&#8212;&#8201;'y"
"x -- (C)y"	"x&#8201;&#8212;&#8201;&#169;y"
"x -- (R)y"	"x&#8201;&#8212;&#8201;&#174;y"
"x -- (TM)y"	"x&#8201;&#8212;&#8201;&#8482;y"
"x -- --y"	"x&#8201;&#8212;&#8201;--y"
"x -- ->y"	"x&#8201;&#8212;&#8201;&#8594;y"
"x -- ...y"	"x&#8201;&#8212;&#8201;&#8230;&#8203;y"
"x -- 9y"	"x&#8201;&#8212;&#8201;9y"
"x -- <-y"	"x&#8201;&#8212;&#8201;&#8592;y"
"x -- <=y"	"x&#8201;&#8212;&#8201;&#8656;y"
"x -- =>y"	"x&#8201;&#8212;&#8201;&#8658;y"
"x -- a--y"	"x&#8201;&#8212;&#8201;a&#8212;&#8203;y"
"x -- ay"	"x&#8201;&#8212;&#8201;ay"
"x -- x'yy"	"x&#8201;&#8212;&#8201;x&#8217;yy"
"x -- z -- y"	"x&#8201;&#8212;&#8201;z&#8201;&#8212;&#8201;y"
"x -- z&amp;copy;y"	"x&#8201;&#8212;&#8201;z&amp;copy;y"
"x -- z'y"	"x&#8201;&#8212;&#8201;z&#8217;y"
"x -- z--y"	"x&#8201;&#8212;&#8201;z&#8212;&#8203;y"
"x -- z->y"	"x&#8201;&#8212;&#8201;z&#8594;y"
"x -- z...y"	"x&#8201;&#8212;&#8201;z&#8230;&#8203;y"
"x -- z9y"	"x&#8201;&#8212;&#8201;z9y"
"x -- z<-y"	"x&#8201;&#8212;&#8201;z&#8592;y"
"x -- za--y"	"x&#8201;&#8212;&#8201;za&#8212;&#8203;y"
"x -- zay"	"x&#8201;&#8212;&#8201;zay"
"x -- zx'yy"	"x&#8201;&#8212;&#8201;zx&#8217;yy"
"x&amp;copy; -- y"	"x&amp;copy;&#8201;&#8212;&#8201;y"
"x&amp;copy;&amp;copy;y"	"x&amp;copy;&amp;copy;y"
"x&amp;copy;'y"	"x&amp;copy;'y"
"x&amp;copy;(C)y"	"x&amp;copy;&#169;y"
"x&amp;copy;(R)y"	"x&amp;copy;&#174;y"
"x&amp;copy;(TM)y"	"x&amp;copy;&#8482;y"
"x&amp;copy;--y"	"x&amp;copy;--y"
"x&amp;copy;->y"	"x&amp;copy;&#8594;y"
"x&amp;copy;...y"	"x&amp;copy;&#8230;&#8203;y"
"x&amp;copy;9y"	"x&amp;copy;9y"
"x&amp;copy;<-y"	"x&amp;copy;&#8592;y"
"x&amp;copy;<=y"	"x&amp;copy;&#8656;y"
"x&amp;copy;=>y"	"x&amp;copy;&#8658;y"
"x&amp;copy;a--y"	"x&amp;copy;a&#8212;&#8203;y"
"x&amp;copy;ay"	"x&amp;copy;ay"
"x&amp;copy;x'yy"	"x&amp;copy;x&#8217;yy"
"x&amp;copy;z -- y"	"x&amp;copy;z&#8201;&#8212;&#8201;y"
"x&amp;copy;z&amp;copy;y"	"x&amp;copy;z&amp;copy;y"
"x&amp;copy;z'y"	"x&amp;copy;z&#8217;y"
"x&amp;copy;z--y"	"x&amp;copy;z&#8212;&#8203;y"
"x&amp;copy;z->y"	"x&amp;copy;z&#8594;y"
"x&amp;copy;z...y"	"x&amp;copy;z&#8230;&#8203;y"
"x&amp;copy;z9y"	"x&amp;copy;z9y"
"x&amp;copy;z<-y"	"x&amp;copy;z&#8592;y"
"x&amp;copy;za--y"	"x&amp;copy;za&#8212;&#8203;y"
"x&amp;copy;zay"	"x&amp;copy;zay"
"x&amp;copy;zx'yy"	"x&amp;copy;zx&#8217;yy"
"x' -- y"	"x'&#8201;&#8212;&#8201;y"
"x'&amp;copy;y"	"x'&amp;copy;y"
"x'(C)y"	"x'&#169;y"
"x'(R)y"	"x'&#174;y"
"x'(TM)y"	"x'&#8482;y"
"x'->y"	"x'&#8594;y"
"x'...y"	"x'&#8230;&#8203;y"
"x'<-y"	"x'&#8592;y"
"x'<=y"	"x'&#8656;y"
"x'=>y"	"x'&#8658;y"
"x'a--y"	"x&#8217;a&#8212;&#8203;y"
"x'x'yy"	"x&#8217;x'yy"
"x(C) -- y"	"x&#169;&#8201;&#8212;&#8201;y"
"x(C)&amp;copy;y"	"x&#169;&amp;copy;y"
"x(C)'y"	"x&#169;'y"
"x(C)--y"	"x&#169;--y"
"x(C)->y"	"x&#169;&#8594;y"
"x(C)...y"	"x&#169;&#8230;&#8203;y"
"x(C)9y"	"x&#169;9y"
"x(C)<-y"	"x&#169;&#8592;y"
"x(C)a--y"	"x&#169;a&#8212;&#8203;y"
"x(C)ay"	"x&#169;ay"
"x(C)x'yy"	"x&#169;x&#8217;yy"
"x(C)z -- y"	"x&#169;z&#8201;&#8212;&#8201;y"
"x(C)z&amp;copy;y"	"x&#169;z&amp;copy;y"
"x(C)z'y"	"x&#169;z&#8217;y"
"x(C)z--y"	"x&#169;z&#8212;&#8203;y"
"x(C)z->y"	"x&#169;z&#8594;y"
"x(C)z...y"	"x&#169;z&#8230;&#8203;y"
"x(C)z9y"	"x&#169;z9y"
"x(C)z<-y"	"x&#169;z&#8592;y"
"x(C)za--y"	"x&#169;za&#8212;&#8203;y"
"x(C)zay"	"x&#169;zay"
"x(C)zx'yy"	"x&#169;zx&#8217;yy"
"x(R) -- y"	"x&#174;&#8201;&#8212;&#8201;y"
"x(R)&amp;copy;y"	"x&#174;&amp;copy;y"
"x(R)'y"	"x&#174;'y"
"x(R)--y"	"x&#174;--y"
"x(R)->y"	"x&#174;&#8594;y"
"x(R)...y"	"x&#174;&#8230;&#8203;y"
"x(R)9y"	"x&#174;9y"
"x(R)<-y"	"x&#174;&#8592;y"
"x(R)a--y"	"x&#174;a&#8212;&#8203;y"
"x(R)ay"	"x&#174;ay"
"x(R)x'yy"	"x&#174;x&#8217;yy"
"x(R)z -- y"	"x&#174;z&#8201;&#8212;&#8201;y"
"x(R)z&amp;copy;y"	"x&#174;z&amp;copy;y"
"x(R)z'y"	"x&#174;z&#8217;y"
"x(R)z--y"	"x&#174;z&#8212;&#8203;y"
"x(R)z->y"	"x&#174;z&#8594;y"
"x(R)z...y"	"x&#174;z&#8230;&#8203;y"
"x(R)z9y"	"x&#174;z9y"
"x(R)z<-y"	"x&#174;z&#8592;y"
"x(R)za--y"	"x&#174;za&#8212;&#8203;y"
"x(R)zay"	"x&#174;zay"
"x(R)zx'yy"	"x&#174;zx&#8217;yy"
"x(TM) -- y"	"x&#8482;&#8201;&#8212;&#8201;y"
"x(TM)&amp;copy;y"	"x&#8482;&amp;copy;y"
"x(TM)'y"	"x&#8482;'y"
"x(TM)--y"	"x&#8482;--y"
"x(TM)->y"	"x&#8482;&#8594;y"
"x(TM)...y"	"x&#8482;&#8230;&#8203;y"
"x(TM)9y"	"x&#8482;9y"
"x(TM)<-y"	"x&#8482;&#8592;y"
"x(TM)a--y"	"x&#8482;a&#8212;&#8203;y"
"x(TM)ay"	"x&#8482;ay"
"x(TM)x'yy"	"x&#8482;x&#8217;yy"
"x(TM)z -- y"	"x&#8482;z&#8201;&#8212;&#8201;y"
"x(TM)z&amp;copy;y"	"x&#8482;z&amp;copy;y"
"x(TM)z'y"	"x&#8482;z&#8217;y"
"x(TM)z--y"	"x&#8482;z&#8212;&#8203;y"
"x(TM)z->y"	"x&#8482;z&#8594;y"
"x(TM)z...y"	"x&#8482;z&#8230;&#8203;y"
"x(TM)z9y"	"x&#8482;z9y"
"x(TM)z<-y"	"x&#8482;z&#8592;y"
"x(TM)za--y"	"x&#8482;za&#8212;&#8203;y"
"x(TM)zay"	"x&#8482;zay"
"x(TM)zx'yy"	"x&#8482;zx&#8217;yy"
"x-- -- y"	"x&#8212;&#8203;&#8201;&#8212;&#8201;y"
"x--&amp;copy;y"	"x&#8212;&#8203;&amp;copy;y"
"x--(C)y"	"x&#8212;&#8203;&#169;y"
"x--(R)y"	"x&#8212;&#8203;&#174;y"
"x--(TM)y"	"x&#8212;&#8203;&#8482;y"
"x--->y"	"x&#8212;&#8203;&#8594;y"
"x--...y"	"x&#8212;&#8203;&#8230;&#8203;y"
"x--<-y"	"x&#8212;&#8203;&#8592;y"
"x--<=y"	"x&#8212;&#8203;&#8656;y"
"x--=>y"	"x&#8212;&#8203;&#8658;y"
"x--a--y"	"x&#8212;&#8203;a&#8212;&#8203;y"
"x--x'yy"	"x&#8212;&#8203;x&#8217;yy"
"x-> -- y"	"x&#8594;&#8201;&#8212;&#8201;y"
"x->&amp;copy;y"	"x&#8594;&amp;copy;y"
"x->'y"	"x&#8594;'y"
"x->(C)y"	"x&#8594;&#169;y"
"x->(R)y"	"x&#8594;&#174;y"
"x->(TM)y"	"x&#8594;&#8482;y"
"x->--y"	"x&#8594;--y"
"x->->y"	"x&#8594;&#8594;y"
"x->...y"	"x&#8594;&#8230;&#8203;y"
"x->9y"	"x&#8594;9y"
"x-><-y"	"x&#8594;&#8592;y"
"x-><=y"	"x&#8594;&#8656;y"
"x->=>y"	"x&#8594;&#8658;y"
"x->a--y"	"x&#8594;a&#8212;&#8203;y"
"x->ay"	"x&#8594;ay"
"x->x'yy"	"x&#8594;x&#8217;yy"
"x->z -- y"	"x&#8594;z&#8201;&#8212;&#8201;y"
"x->z&amp;copy;y"	"x&#8594;z&amp;copy;y"
"x->z'y"	"x&#8594;z&#8217;y"
"x->z--y"	"x&#8594;z&#8212;&#8203;y"
"x->z->y"	"x&#8594;z&#8594;y"
"x->z...y"	"x&#8594;z&#8230;&#8203;y"
"x->z9y"	"x&#8594;z9y"
"x->z<-y"	"x&#8594;z&#8592;y"
"x->za--y"	"x&#8594;za&#8212;&#8203;y"
"x->zay"	"x&#8594;zay"
"x->zx'yy"	"x&#8594;zx&#8217;yy"
"x... -- y"	"x&#8230;&#8203;&#8201;&#8212;&#8201;y"
"x...&amp;copy;y"	"x&#8230;&#8203;&amp;copy;y"
"x...'y"	"x&#8230;&#8203;'y"
"x...(C)y"	"x&#8230;&#8203;&#169;y"
"x...(R)y"	"x&#8230;&#8203;&#174;y"
"x...(TM)y"	"x&#8230;&#8203;&#8482;y"
"x...--y"	"x&#8230;&#8203;--y"
"x...->y"	"x&#8230;&#8203;&#8594;y"
"x......y"	"x&#8230;&#8203;&#8230;&#8203;y"
"x...9y"	"x&#8230;&#8203;9y"
"x...<-y"	"x&#8230;&#8203;&#8592;y"
"x...<=y"	"x&#8230;&#8203;&#8656;y"
"x...=>y"	"x&#8230;&#8203;&#8658;y"
"x...a--y"	"x&#8230;&#8203;a&#8212;&#8203;y"
"x...ay"	"x&#8230;&#8203;ay"
"x...x'yy"	"x&#8230;&#8203;x&#8217;yy"
"x...z -- y"	"x&#8230;&#8203;z&#8201;&#8212;&#8201;y"
"x...z&amp;copy;y"	"x&#8230;&#8203;z&amp;copy;y"
"x...z'y"	"x&#8230;&#8203;z&#8217;y"
"x...z--y"	"x&#8230;&#8203;z&#8212;&#8203;y"
"x...z->y"	"x&#8230;&#8203;z&#8594;y"
"x...z...y"	"x&#8230;&#8203;z&#8230;&#8203;y"
"x...z9y"	"x&#8230;&#8203;z9y"
"x...z<-y"	"x&#8230;&#8203;z&#8592;y"
"x...za--y"	"x&#8230;&#8203;za&#8212;&#8203;y"
"x...zay"	"x&#8230;&#8203;zay"
"x...zx'yy"	"x&#8230;&#8203;zx&#8217;yy"
"x9 -- y"	"x9&#8201;&#8212;&#8201;y"
"x9&amp;copy;y"	"x9&amp;copy;y"
"x9(C)y"	"x9&#169;y"
"x9(R)y"	"x9&#174;y"
"x9(TM)y"	"x9&#8482;y"
"x9->y"	"x9&#8594;y"
"x9...y"	"x9&#8230;&#8203;y"
"x9<-y"	"x9&#8592;y"
"x9<=y"	"x9&#8656;y"
"x9=>y"	"x9&#8658;y"
"x9a--y"	"x9a&#8212;&#8203;y"
"x9x'yy"	"x9x&#8217;yy"
"x<- -- y"	"x&#8592;&#8201;&#8212;&#8201;y"
"x<-&amp;copy;y"	"x&#8592;&amp;copy;y"
"x<-'y"	"x&#8592;'y"
"x<-(C)y"	"x&#8592;&#169;y"
"x<-(R)y"	"x&#8592;&#174;y"
"x<-(TM)y"	"x&#8592;&#8482;y"
"x<---y"	"x&#8592;--y"
"x<-->y"	"x&#8592;&#8594;y"
"x<-...y"	"x&#8592;&#8230;&#8203;y"
"x<-9y"	"x&#8592;9y"
"x<-<-y"	"x&#8592;&#8592;y"
"x<-<=y"	"x&#8592;&#8656;y"
"x<-=>y"	"x&#8592;&#8658;y"
"x<-a--y"	"x&#8592;a&#8212;&#8203;y"
"x<-ay"	"x&#8592;ay"
"x<-x'yy"	"x&#8592;x&#8217;yy"
"x<-z -- y"	"x&#8592;z&#8201;&#8212;&#8201;y"
"x<-z&amp;copy;y"	"x&#8592;z&amp;copy;y"
"x<-z'y"	"x&#8592;z&#8217;y"
"x<-z--y"	"x&#8592;z&#8212;&#8203;y"
"x<-z->y"	"x&#8592;z&#8594;y"
"x<-z...y"	"x&#8592;z&#8230;&#8203;y"
"x<-z9y"	"x&#8592;z9y"
"x<-z<-y"	"x&#8592;z&#8592;y"
"x<-za--y"	"x&#8592;za&#8212;&#8203;y"
"x<-zay"	"x&#8592;zay"
"x<-zx'yy"	"x&#8592;zx&#8217;yy"
"x<= -- y"	"x&#8656;&#8201;&#8212;&#8201;y"
"x<=&amp;copy;y"	"x&#8656;&amp;copy;y"
"x<='y"	"x&#8656;'y"
"x<=--y"	"x&#8656;--y"
"x<=->y"	"x&#8656;&#8594;y"
"x<=...y"	"x&#8656;&#8230;&#8203;y"
"x<=9y"	"x&#8656;9y"
"x<=<-y"	"x&#8656;&#8592;y"
"x<=a--y"	"x&#8656;a&#8212;&#8203;y"
"x<=ay"	"x&#8656;ay"
"x<=x'yy"	"x&#8656;x&#8217;yy"
"x<=z -- y"	"x&#8656;z&#8201;&#8212;&#8201;y"
"x<=z&amp;copy;y"	"x&#8656;z&amp;copy;y"
"x<=z'y"	"x&#8656;z&#8217;y"
"x<=z--y"	"x&#8656;z&#8212;&#8203;y"
"x<=z->y"	"x&#8656;z&#8594;y"
"x<=z...y"	"x&#8656;z&#8230;&#8203;y"
"x<=z9y"	"x&#8656;z9y"
"x<=z<-y"	"x&#8656;z&#8592;y"
"x<=za--y"	"x&#8656;za&#8212;&#8203;y"
"x<=zay"	"x&#8656;zay"
"x<=zx'yy"	"x&#8656;zx&#8217;yy"
"x=> -- y"	"x&#8658;&#8201;&#8212;&#8201;y"
"x=>&amp;copy;y"	"x&#8658;&amp;copy;y"
"x=>'y"	"x&#8658;'y"
"x=>--y"	"x&#8658;--y"
"x=>->y"	"x&#8658;&#8594;y"
"x=>...y"	"x&#8658;&#8230;&#8203;y"
"x=>9y"	"x&#8658;9y"
"x=><-y"	"x&#8658;&#8592;y"
"x=>a--y"	"x&#8658;a&#8212;&#8203;y"
"x=>ay"	"x&#8658;ay"
"x=>x'yy"	"x&#8658;x&#8217;yy"
"x=>z -- y"	"x&#8658;z&#8201;&#8212;&#8201;y"
"x=>z&amp;copy;y"	"x&#8658;z&amp;copy;y"
"x=>z'y"	"x&#8658;z&#8217;y"
"x=>z--y"	"x&#8658;z&#8212;&#8203;y"
"x=>z->y"	"x&#8658;z&#8594;y"
"x=>z...y"	"x&#8658;z&#8230;&#8203;y"
"x=>z9y"	"x&#8658;z9y"
"x=>z<-y"	"x&#8658;z&#8592;y"
"x=>za--y"	"x&#8658;za&#8212;&#8203;y"
"x=>zay"	"x&#8658;zay"
"x=>zx'yy"	"x&#8658;zx&#8217;yy"
"xa -- y"	"xa&#8201;&#8212;&#8201;y"
"xa&amp;copy;y"	"xa&amp;copy;y"
"xa(C)y"	"xa&#169;y"
"xa(R)y"	"xa&#174;y"
"xa(TM)y"	"xa&#8482;y"
"xa-- -- y"	"xa&#8212;&#8203;&#8201;&#8212;&#8201;y"
"xa--&amp;copy;y"	"xa&#8212;&#8203;&amp;copy;y"
"xa--'y"	"xa&#8212;&#8203;'y"
"xa--(C)y"	"xa&#8212;&#8203;&#169;y"
"xa--(R)y"	"xa&#8212;&#8203;&#174;y"
"xa--(TM)y"	"xa&#8212;&#8203;&#8482;y"
"xa----y"	"xa&#8212;&#8203;--y"
"xa--->y"	"xa&#8212;&#8203;&#8594;y"
"xa--...y"	"xa&#8212;&#8203;&#8230;&#8203;y"
"xa--9y"	"xa&#8212;&#8203;9y"
"xa--<-y"	"xa&#8212;&#8203;&#8592;y"
"xa--<=y"	"xa&#8212;&#8203;&#8656;y"
"xa--=>y"	"xa&#8212;&#8203;&#8658;y"
"xa--a--y"	"xa&#8212;&#8203;a&#8212;&#8203;y"
"xa--ay"	"xa&#8212;&#8203;ay"
"xa--x'yy"	"xa&#8212;&#8203;x&#8217;yy"
"xa--z -- y"	"xa&#8212;&#8203;z&#8201;&#8212;&#8201;y"
"xa--z&amp;copy;y"	"xa&#8212;&#8203;z&amp;copy;y"
"xa--z'y"	"xa&#8212;&#8203;z&#8217;y"
"xa--z--y"	"xa&#8212;&#8203;z&#8212;&#8203;y"
"xa--z->y"	"xa&#8212;&#8203;z&#8594;y"
"xa--z...y"	"xa&#8212;&#8203;z&#8230;&#8203;y"
"xa--z9y"	"xa&#8212;&#8203;z9y"
"xa--z<-y"	"xa&#8212;&#8203;z&#8592;y"
"xa--za--y"	"xa&#8212;&#8203;za&#8212;&#8203;y"
"xa--zay"	"xa&#8212;&#8203;zay"
"xa--zx'yy"	"xa&#8212;&#8203;zx&#8217;yy"
"xa->y"	"xa&#8594;y"
"xa...y"	"xa&#8230;&#8203;y"
"xa<-y"	"xa&#8592;y"
"xa<=y"	"xa&#8656;y"
"xa=>y"	"xa&#8658;y"
"xaa--y"	"xaa&#8212;&#8203;y"
"xax'yy"	"xax&#8217;yy"
"xx'y -- y"	"xx&#8217;y&#8201;&#8212;&#8201;y"
"xx'y&amp;copy;y"	"xx&#8217;y&amp;copy;y"
"xx'y'y"	"xx&#8217;y'y"
"xx'y(C)y"	"xx&#8217;y&#169;y"
"xx'y(R)y"	"xx&#8217;y&#174;y"
"xx'y(TM)y"	"xx&#8217;y&#8482;y"
"xx'y--y"	"xx&#8217;y&#8212;&#8203;y"
"xx'y->y"	"xx&#8217;y&#8594;y"
"xx'y...y"	"xx&#8217;y&#8230;&#8203;y"
"xx'y9y"	"xx&#8217;y9y"
"xx'y<-y"	"xx&#8217;y&#8592;y"
"xx'y<=y"	"xx&#8217;y&#8656;y"
"xx'y=>y"	"xx&#8217;y&#8658;y"
"xx'ya--y"	"xx&#8217;ya&#8212;&#8203;y"
"xx'yay"	"xx&#8217;yay"
"xx'yx'yy"	"xx&#8217;yx&#8217;yy"
"xx'yz -- y"	"xx&#8217;yz&#8201;&#8212;&#8201;y"
"xx'yz&amp;copy;y"	"xx&#8217;yz&amp;copy;y"
"xx'yz'y"	"xx&#8217;yz&#8217;y"
"xx'yz--y"	"xx&#8217;yz&#8212;&#8203;y"
"xx'yz->y"	"xx&#8217;yz&#8594;y"
"xx'yz...y"	"xx&#8217;yz&#8230;&#8203;y"
"xx'yz9y"	"xx&#8217;yz9y"
"xx'yz<-y"	"xx&#8217;yz&#8592;y"
"xx'yza--y"	"xx&#8217;yza&#8212;&#8203;y"
"xx'yzay"	"xx&#8217;yzay"
"xx'yzx'yy"	"xx&#8217;yzx&#8217;yy"
"~x --~"	"~x --~"
